name	description	volume	stock	price
Balvenie 25 Years Old 0,7 л	Этот 25-летний виски от Balvenie обладает глубокой сложностью и насыщенным ароматом с древесными нотами. Вкус богат и многогранный, с оттенками ванили, специй и фруктов, что делает его исключительно гармоничным и наслаждение для истинных ценителей виски.	0.7	0	68250
Balvenie 40 Years Old 0,7 л	40-летний виски Balvenie - это настоящая редкость, выдержанная в дубовых бочках на протяжении десятилетий. Он радует богатым букетом и сложным вкусом, включая ноты меда, орехов и дуба, что делает его великолепным и изысканным напитком.	0.7	1	609000
Glenfiddich 21 Years Old 0,7 л	Glenfiddich 21-летний виски обладает бархатным вкусом с нотами ванили, дуба и специй. Его долгая выдержка придает этому напитку уникальный характер и гармонию во вкусе.	0.7	15	23100
Glenfiddich 25 Years Old 0,7 л	Glenfiddich 25-летний виски характеризуется богатым вкусом, включающим ноты меда, ванили и фруктов. Его аромат также насыщен фруктовыми нотами, делая его исключительным выбором для ценителей виски.	0.7	3	60900
Glenfiddich 40 Years Old 0,7 л	40-летний Glenfiddich - это впечатляющий виски с богатыми древесными и фруктовыми оттенками. Его выдающаяся выдержка придает напитку невероятную сложность и глубину вкуса, с нотами вишни, яблока и меда.	0.7	2	472500
Laphroaig 25 Years Old 2013 0,7 л	Этот 25-летний Laphroaig представляет собой редкое сочетание сильных торфяных и древесных нот, делая его идеальным выбором для ценителей торфяных виски.	0.7	1	94500
Famous Grouse 30 Years Old 0,7 л	30-летний Famous Grouse - это редкий и выдержанный виски с глубокими фруктовыми нотами и приятной пряностью.	0.7	1	55650
Glenlivet 21 Years Old 0,7 л	Glenlivet 21-летний виски отличается изысканным букетом и гармоничным вкусом, в котором выделяются ноты спелых фруктов, ванили и древесины. Этот напиток обладает долгой историей и премиальным статусом.	0.7	0	23100
Glenlivet 25 Years Old 0,7 л	Glenlivet 25-летний виски характеризуется богатым вкусом, с оттенками трав, меда и фруктовых нот. Его сложность и утонченность делают его излюбленным выбором ценителей виски.	0.7	0	42000
Bowmore 25 Years Old 0,7 л	25-летний виски от Bowmore отличается богатым и глубоким вкусом с нотами дыма, морских водорослей и торфа. Его история и выдающееся качество делают его премиальным напитком.	0.7	1	54600
